category,intent,keyword,tfidf score
PAYMENT,payment_issue,error try,0.012015648758324603
PAYMENT,payment_issue,error try make,0.009471031538407764
PAYMENT,payment_issue,fuck,0.013179291396387578
PAYMENT,payment_issue,fuck issue,0.0061278759513553665
PAYMENT,payment_issue,fuck problem,0.0053227799510648455
PAYMENT,payment_issue,get,0.04304278539276718
PAYMENT,payment_issue,get error,0.03911623723485288
PAYMENT,payment_issue,get error attempt,0.01495510427709854
PAYMENT,payment_issue,get error message,0.0243773121981849
PAYMENT,payment_issue,get error tried,0.0066765580230937396
PAYMENT,payment_issue,get error try,0.011701725248622903
PAYMENT,payment_issue,help,0.04102004299779889
PAYMENT,payment_issue,help inform,0.012117437646993813
PAYMENT,payment_issue,help notify,0.012849074583359777
PAYMENT,payment_issue,help report,0.00785587378624299
PAYMENT,payment_issue,help reporting,0.004996832326887692
PAYMENT,payment_issue,inform,0.055752827905522905
PAYMENT,payment_issue,inform issue,0.015002266071921865
PAYMENT,payment_issue,inform payment,0.010602403423575829
PAYMENT,payment_issue,inform payment problem,0.005877195485770372
PAYMENT,payment_issue,inform problem,0.014842642795647065
PAYMENT,payment_issue,issue,0.07189008461592278
PAYMENT,payment_issue,issue make,0.025586882140206928
PAYMENT,payment_issue,issue make payment,0.025155988450834235
PAYMENT,payment_issue,issue pay,0.034796284732833256
PAYMENT,payment_issue,issue pay card,0.007337609553017509
PAYMENT,payment_issue,issue pay order,0.006920072345929587
PAYMENT,payment_issue,issue payment,0.018448647150130653
PAYMENT,payment_issue,issue try,0.024201187060572466
PAYMENT,payment_issue,issue try make,0.0096511914218771
PAYMENT,payment_issue,issue try pay,0.01815133909487917
PAYMENT,payment_issue,like,0.007158204373309602
PAYMENT,payment_issue,make,0.05992817073851641
PAYMENT,payment_issue,make payment,0.059503407083984695
PAYMENT,payment_issue,make payment card,0.027024166443941264
PAYMENT,payment_issue,make payment charge,0.012591970011272307
PAYMENT,payment_issue,make payment inform,0.006156290045765332
PAYMENT,payment_issue,make payment online,0.004307302033788437
PAYMENT,payment_issue,make payment order,0.0047384927824188966
PAYMENT,payment_issue,message,0.028124364947915873
PAYMENT,payment_issue,message attempt,0.015133053307488169
PAYMENT,payment_issue,message attempt make,0.008657706811759876
PAYMENT,payment_issue,message attempt pay,0.008964473709075542
PAYMENT,payment_issue,message pop,0.0075723457168658794
PAYMENT,payment_issue,message pop try,0.004390801826359884
PAYMENT,payment_issue,message try,0.0142157306352011
PAYMENT,payment_issue,message try make,0.007962879029069444
PAYMENT,payment_issue,message try pay,0.008759930744740236
PAYMENT,payment_issue,na,0.009657434445645402
PAYMENT,payment_issue,need,0.017300098859642333
PAYMENT,payment_issue,need help,0.017192247915419845
PAYMENT,payment_issue,need help inform,0.006263232958044839
PAYMENT,payment_issue,need help notify,0.006862648490527312
PAYMENT,payment_issue,need help reporting,0.004746794371185443
PAYMENT,payment_issue,notify,0.055641603068638246
PAYMENT,payment_issue,notify fuck,0.004795154675472349
PAYMENT,payment_issue,notify issue,0.015638073070542508
PAYMENT,payment_issue,notify issue payment,0.005985784431501175
